183105	915527	15350342	107055663
183105	1190185	7354736	90240479
152588	610351	4394531	41656495
91553	671387	3906250	38299561
122070	17333984	22216796	126831052
122070	793457	6103515	36651609
152588	579834	3723144	64819335
122070	701904	3967285	38146973
122070	640869	3662110	36254882
152588	16906738	20843505	127593992
122070	854492	4791259	40924071
152588	671386	4791259	68145752
122070	885010	4943848	43853761
183106	885010	5279541	44250487
152588	16967774	20721436	128479005
152588	762940	4425049	41320803
152587	823974	5035400	66284180
122070	854492	5371094	42877198
122071	732422	4516602	43395998
122071	823975	21148683	121337890
152588	732422	4852296	41290283
152588	885010	5340576	70129394
122071	762940	4852295	41229247
122071	579834	4547120	41503908
152588	17059327	21820069	136016847
152588	579834	4333496	41717529
122070	854492	4791259	58685303
122070	885010	4669189	42480467
122071	488282	3601074	42205812
152588	17761230	21881103	124908448
152588	579834	4608155	42999267
152588	762940	5737305	61523439
122070	762939	5157470	50109864
122071	610352	4394532	42572024
122070	16937257	21118165	120300294
122071	976564	4882814	42388919
122070	762939	4577637	75836183
152588	701905	4974365	42449952
122070	885010	5493164	42846680
122070	16845703	20935059	126464845
152588	732422	5676271	38970949
122070	885009	4913329	71899413
152587	732421	4638672	42297365
183105	854492	5065918	43853760
152588	16693115	21606445	132263182
152588	946046	4943849	42236328
122070	854492	5096436	70587157
122070	793457	4760742	42358398
549317	1068116	4852295	44006350
122071	16998291	20935059	119873046
152588	854492	4638672	41595460
122070	793457	5126953	60974119
122070	885010	4882812	41290285
152588	793458	4882813	42968751
122070	17181398	21301270	120269777
122071	701905	4577637	49041750
152588	915527	5187989	62499998
152588	915527	5065917	43701172
152588	885010	4730225	44097902
152588	16845703	21545411	130462648
152588	701904	6469727	44006346
122071	518799	3814697	61706541
152588	732422	4516602	40924074
122070	823974	5096436	49713137
122070	15716552	19592284	125457763
122071	854492	4882813	42144775
122070	671387	5249024	60058596
152588	732422	4577637	41381838
152588	579834	5432130	42633058
152588	17150878	21209716	121032715
152588	762939	4699708	50048830
152588	793457	4913330	70343020
122070	885009	5187989	44433596
122070	854492	4760742	44219970
122070	17639161	21514893	123504639
122071	854493	4486085	42724609
122070	640869	4608155	59143065
152588	854492	5157470	41503907
152588	793457	4577636	42175294
183105	16967774	20874024	128051759
152588	793457	4547120	41229249
122071	915528	5096436	69091800
152587	915527	5828858	45379637
122071	610352	4333497	42327880
152588	16845704	21789551	120513916
152588	854492	5187989	41900637
122070	854492	4669189	74096677
152588	610351	4425048	42114257
122071	823975	4608154	44189455
122071	16632079	30761718	124938964
122070	762940	4669189	44219971
152587	976563	5218506	74188232
152588	579834	5218506	43151857
122070	854492	4547119	43334962
152588	16815184	28686522	134735106
122070	671387	5950929	44647217
122070	762939	4974366	66406253
122070	823974	4730224	42724609
152588	854493	4974365	43304445
152588	701904	31433108	119598390
152588	854492	4608154	41839601
122070	579834	4730225	60363768
122071	885010	5035401	49591067
122071	610352	4577638	44616702
152588	34301757	37506103	206939697
122071	701905	5737305	44219972
183106	2990724	6652833	82031249
152588	762940	5004884	43060302
122071	640870	4608155	46569826
122070	17028808	20904540	125183104
122071	854492	4882814	41473390
122070	915527	4882812	58868410
152587	610351	4913329	44494629
152588	854492	4669189	42694092
183106	3509522	19439699	104705811
122070	854493	5035401	120635987
122071	854492	4882813	46325686
122071	732423	4577638	41168213
152588	854492	5401611	41381837
152588	1373291	5218506	40344236
122071	793457	21057130	129486085
122071	610352	3997803	37750246
152588	762940	4272461	67108156
